id,nutrient_code,condition_type,condition_value,severity,message
1,IRON,약물,제산제,주의,제산제와 함께 드시면 철분 흡수가 떨어질 수 있어요.
2,CALCIUM,약물,갑상선약,주의,갑상선약과는 4시간 이상 간격을 두고 드세요.
3,OMEGA3,약물,와파린,주의,항응고제(와파린) 복용 중이면 출혈 위험이 있어 전문가 상담이 필요해요.
4,OMEGA3,약물,아스피린,주의,항혈소판제와 함께 드시면 출혈 경향이 늘 수 있어요.
5,VIT_D,질환,신장질환,주의,신장질환이 있으면 비타민D·칼슘 과다에 주의가 필요해요.
6,CALCIUM,질환,신장결석,주의,신장결석 병력이 있으면 칼슘 보충 전 상담하세요.
7,MAGNESIUM,질환,신장질환,금기,신장 기능이 저하되면 마그네슘이 쌓일 수 있어 권장하지 않아요.
8,IRON,질환,혈색소증,금기,철 과잉 질환(혈색소증)에는 철분제를 권장하지 않아요.
9,VIT_C,질환,신장결석,주의,고용량 비타민C는 신장결석 위험을 높일 수 있어요.
10,ZINC,약물,항생제,주의,일부 항생제와 아연은 서로 흡수를 방해해요. 시간을 나눠 드세요.
11,FOLATE,약물,항경련제,주의,항경련제와 엽산은 상호작용이 있어 상담이 필요해요.
12,OMEGA3,알러지,갑각류,주의,갑각류 알러지가 있으면 크릴 유래 오메가3는 피하세요.
13,PROBIOTICS,질환,면역저하,주의,중증 면역저하 상태라면 유산균 섭취 전 상담하세요.
14,VIT_D,임신,임신,주의,임신 중 비타민D는 권장량을 넘지 않도록 주의하세요.
15,PROTEIN,질환,신장질환,주의,신장질환이 있으면 고단백 보충에 주의가 필요해요.
16,CALCIUM,약물,철분제,주의,칼슘과 철분은 흡수가 경쟁해요. 시간을 나눠 드세요.
17,VIT_C,약물,항암제,주의,항암 치료 중 고용량 항산화제는 전문가 상담이 필요해요.
18,MAGNESIUM,약물,항생제,주의,마그네슘은 일부 항생제 흡수를 방해할 수 있어요.
19,ZINC,질환,구리결핍,주의,장기 고용량 아연은 구리 결핍을 부를 수 있어요.
20,IRON,질환,위궤양,주의,위장질환이 있으면 철분제가 속쓰림을 유발할 수 있어요.
